"R0000100","R0536300","R0536402","R1482600","R2563600","R2568302","R3508600","R3510500","R3511300","R3516200","R3516900","R3517700","R3518200","R3519200","R4907500","Z9060800"
1,2,1981,4,1,1998,1,-4,-4,-4,-4,0,-4,-4,2,52
2,1,1982,2,2,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3,2,1983,2,4,1998,0,-4,-4,-4,-4,-4,-4,-4,-4,0
4,2,1981,2,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,2,52
5,1,1982,2,1,1998,30,-4,-4,10,-4,-4,-4,-4,0,0
6,2,1982,2,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7,1,1983,2,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
8,2,1981,4,1,1998,5,-4,-4,-4,-4,-4,-4,-4,10,49
9,1,1982,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,15,0
10,1,1984,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
11,2,1982,2,4,1998,1,-4,-4,-4,-4,-4,-4,-4,-4,8
12,1,1981,2,8,1999,-4,-4,-4,-4,-4,-4,-4,-4,2,0
13,1,1984,2,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
14,1,1980,2,1,1999,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
15,2,1983,2,1,1998,-4,-4,-4,-4,-4,0,-4,-4,-4,0
16,1,1982,2,4,1998,-4,5,-4,-4,-4,-4,-4,-4,-4,7
17,2,1981,2,9,1998,0,-4,-4,-4,-4,-4,-4,-4,2,4
18,1,1982,1,4,1998,0,0,-4,-4,-4,-4,-4,-4,-4,14
19,1,1984,1,4,1998,-4,-4,-4,-4,-4,99,50,-4,-4,7
20,1,1980,1,4,1998,-4,0,-4,-4,-4,-4,-4,-4,4,22
21,1,1982,2,4,1998,0,-4,-4,-4,-4,-4,-4,-4,-4,13
22,1,1982,2,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,0,0
23,2,1983,2,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,1,0
24,1,1984,2,2,1998,3,-4,-4,-4,3,3,-4,10,-4,0
25,2,1983,2,1,1998,-4,-4,-4,1,-4,-4,-4,-4,-4,0
26,1,1980,1,3,1999,30,-4,-4,-4,-4,-4,-4,-4,-4,0
27,1,1981,1,-5,-5,15,-4,-4,-4,-4,-4,-4,-4,5,11
28,2,1983,1,2,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
29,2,1983,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,26
30,1,1981,4,4,1999,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
31,1,1982,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,0,52
32,2,1981,4,1,1999,30,-4,-4,-4,-4,-4,-4,-4,-5,52
33,2,1980,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,3,6
34,2,1984,4,1,1999,1,-4,-4,-4,-4,-4,-4,-4,3,0
35,1,1983,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
36,2,1980,4,10,1999,-4,-4,-4,-4,-4,-4,-4,-4,0,0
37,2,1980,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
38,2,1981,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
39,1,1980,2,1,1999,1,-4,-4,-4,-4,-4,-4,-4,10,44
40,2,1984,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
41,2,1983,4,1,1999,0,-4,-4,-4,5,0,-4,-4,2,9
42,1,1983,4,1,1999,-4,-4,-4,-4,-4,0,-4,-4,2,9
43,2,1981,1,4,1999,0,12,-4,-4,-4,-4,-4,-4,1,24
44,1,1981,2,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
45,2,1984,1,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
46,1,1984,1,4,1999,16,-4,30,50,50,50,11,30,0,0
47,2,1982,1,8,1998,-4,-4,-4,-4,-4,-4,-4,-4,3,0
48,2,1983,1,8,1998,-4,-4,-4,-4,-4,-4,-4,-4,4,0
49,2,1982,1,2,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
50,2,1983,1,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
51,1,1980,1,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
52,1,1983,1,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
53,2,1984,1,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,7
54,2,1984,1,8,1998,16,-4,-4,-4,-4,-4,-4,-4,0,0
55,2,1981,2,1,1999,1,0,-4,-4,-4,-4,-4,-4,0,31
56,2,1982,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,5,0
57,1,1982,1,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
58,1,1983,1,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,6,0
59,2,1981,1,9,1998,-4,-4,-4,-4,-4,-4,-4,-4,2,52
60,1,1984,4,2,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
61,2,1983,1,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,0,0
62,1,1980,1,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,1,7
63,2,1984,1,1,1998,10,-4,-4,-4,-4,-4,-4,-4,0,0
64,1,1980,1,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
65,1,1984,1,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
66,1,1980,1,3,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,6
67,1,1980,1,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-2,3
68,1,1981,1,3,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,6
69,2,1981,1,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
70,1,1982,1,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3
71,1,1980,1,8,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
72,2,1982,1,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,3,0
