Country,Year,Region,Population
Burundi,1980,Africa,4126.538
Burundi,1981,Africa,4239.795
Burundi,1982,Africa,4359.379
Burundi,1983,Africa,4486.938
Burundi,1984,Africa,4624.85
Burundi,1985,Africa,4774.155
Burundi,1986,Africa,4935.642
Burundi,1987,Africa,5106.707
Burundi,1988,Africa,5280.833
Burundi,1989,Africa,5449.339
Burundi,1990,Africa,5605.873
Burundi,1991,Africa,5749.774
Burundi,1992,Africa,5882.679
Burundi,1993,Africa,6003.704
Burundi,1994,Africa,6112.449
Burundi,1995,Africa,6209.923
Burundi,1996,Africa,6294.482
Burundi,1997,Africa,6369.573
Burundi,1998,Africa,6447.672
Burundi,1999,Africa,6545.273
Burundi,2000,Africa,6674.286
Burundi,2001,Africa,6839.376
Burundi,2002,Africa,7037.727
Burundi,2003,Africa,7264.34
Burundi,2004,Africa,7510.771
Burundi,2005,Africa,7770.392
Burundi,2006,Africa,8042.579
Comoros,1980,Africa,313.598
Comoros,1981,Africa,323.998
Comoros,1982,Africa,333.998
Comoros,1983,Africa,343.708
Comoros,1984,Africa,353.345
Comoros,1985,Africa,363.068
Comoros,1986,Africa,372.895
Comoros,1987,Africa,382.771
Comoros,1988,Africa,392.705
Comoros,1989,Africa,402.707
Comoros,1990,Africa,412.79
Comoros,1991,Africa,422.969
Comoros,1992,Africa,433.286
Comoros,1993,Africa,443.82
Comoros,1994,Africa,454.665
Comoros,1995,Africa,465.895
Comoros,1996,Africa,477.548
Comoros,1997,Africa,489.627
Comoros,1998,Africa,502.128
Comoros,1999,Africa,515.028
Comoros,2000,Africa,528.312
Comoros,2001,Africa,541.976
Comoros,2002,Africa,556.028
Comoros,2003,Africa,570.491
Comoros,2004,Africa,585.389
Comoros,2005,Africa,600.733
Comoros,2006,Africa,616.526
Djibouti,1980,Africa,359.247
Djibouti,1981,Africa,375.041
Djibouti,1982,Africa,385.184
Djibouti,1983,Africa,393.443
Djibouti,1984,Africa,405.229
Djibouti,1985,Africa,424.227
Djibouti,1986,Africa,451.942
Djibouti,1987,Africa,486.555
Djibouti,1988,Africa,524.393
Djibouti,1989,Africa,560.124
Djibouti,1990,Africa,589.924
Djibouti,1991,Africa,612.589
Djibouti,1992,Africa,629.373
Djibouti,1993,Africa,641.9
Djibouti,1994,Africa,652.793
Djibouti,1995,Africa,663.999
Djibouti,1996,Africa,675.891
Djibouti,1997,Africa,687.897
Djibouti,1998,Africa,699.922
Djibouti,1999,Africa,711.652
Djibouti,2000,Africa,722.887
Djibouti,2001,Africa,733.732
Djibouti,2002,Africa,744.434
Djibouti,2003,Africa,755.085
Djibouti,2004,Africa,765.776
Djibouti,2005,Africa,776.585
Djibouti,2006,Africa,787.544
Eritrea,1980,Africa,2414.647
Eritrea,1981,Africa,2493.745
Eritrea,1982,Africa,2573.931
Eritrea,1983,Africa,2656.189
Eritrea,1984,Africa,2742.004
Eritrea,1985,Africa,2831.894
Eritrea,1986,Africa,2928.032
Eritrea,1987,Africa,3028.719
Eritrea,1988,Africa,3126.1
Eritrea,1989,Africa,3209.606
Eritrea,1990,Africa,3272.563
Eritrea,1991,Africa,3311.719
Eritrea,1992,Africa,3331.918
Eritrea,1993,Africa,3344.626
Eritrea,1994,Africa,3365.933
Eritrea,1995,Africa,3407.812
Eritrea,1996,Africa,3473.399
Eritrea,1997,Africa,3560.353
Eritrea,1998,Africa,3668.35
Eritrea,1999,Africa,3795.384
Eritrea,2000,Africa,3939.348
Eritrea,2001,Africa,4101.609
Eritrea,2002,Africa,4281.576
Eritrea,2003,Africa,4472.533
Eritrea,2004,Africa,4665.522
Eritrea,2005,Africa,4854.066
Eritrea,2006,Africa,5035.036
Ethiopia,1980,Africa,35241.209
Ethiopia,1981,Africa,36094.424
Ethiopia,1982,Africa,37110.033
Ethiopia,1983,Africa,38259.33
Ethiopia,1984,Africa,39493.61
Ethiopia,1985,Africa,40777.189
Ethiopia,1986,Africa,42100.969
Ethiopia,1987,Africa,43477.401
Ethiopia,1988,Africa,44916.621
Ethiopia,1989,Africa,46435.325
Ethiopia,1990,Africa,48042.755
Ethiopia,1991,Africa,49743.883
Ethiopia,1992,Africa,51525.658
Ethiopia,1993,Africa,53357.867
Ethiopia,1994,Africa,55199.953
Ethiopia,1995,Africa,57023.519
Ethiopia,1996,Africa,58815.116
Ethiopia,1997,Africa,60584.273
Ethiopia,1998,Africa,62353.942
Ethiopia,1999,Africa,64158.887
Ethiopia,2000,Africa,66024.199
Ethiopia,2001,Africa,67956.866
Ethiopia,2002,Africa,69948.344
Ethiopia,2003,Africa,71989.666
Ethiopia,2004,Africa,74066.147
Ethiopia,2005,Africa,76167.24
Ethiopia,2006,Africa,78290.649
Kenya,1980,Africa,16267.906
Kenya,1981,Africa,16901.167
Kenya,1982,Africa,17559.844
Kenya,1983,Africa,18241.424
Kenya,1984,Africa,18942.464
Kenya,1985,Africa,19660.018
Kenya,1986,Africa,20392.312
Kenya,1987,Africa,21138.372
Kenya,1988,Africa,21896.89
Kenya,1989,Africa,22666.72
Kenya,1990,Africa,23446.439
Kenya,1991,Africa,24237.056
Kenya,1992,Africa,25036.941
Kenya,1993,Africa,25839.132
Kenya,1994,Africa,26634.659
Kenya,1995,Africa,27418.077
Kenya,1996,Africa,28186.224
Kenya,1997,Africa,28943.647
Kenya,1998,Africa,29702.246
Kenya,1999,Africa,30478.597
Kenya,2000,Africa,31285.05
Kenya,2001,Africa,32126.351
Kenya,2002,Africa,33000.524
Kenya,2003,Africa,33905.011
Kenya,2004,Africa,34834.606
Kenya,2005,Africa,35785.718
Kenya,2006,Africa,36757.498
Madagascar,1980,Africa,8746.516
Madagascar,1981,Africa,8983.494
Madagascar,1982,Africa,9220.693
Madagascar,1983,Africa,9462.343
Madagascar,1984,Africa,9714.342
Madagascar,1985,Africa,9981.113
Madagascar,1986,Africa,10264.368
Madagascar,1987,Africa,10563.491
Madagascar,1988,Africa,10877.757
Madagascar,1989,Africa,11205.548
Madagascar,1990,Africa,11545.782
Madagascar,1991,Africa,11898.267
