Country,Year,Cannabis,Cocaine,Heroin,Opium
Burundi,1980,0,0,0,0
Burundi,1981,0,0,0,0
Burundi,1982,0,0,0,0
Burundi,1983,0,0,0,0
Burundi,1984,0,0,0,0
Burundi,1985,0,0,0,0
Burundi,1986,0,0,0,0
Burundi,1987,0,0,0,0
Burundi,1988,1500,0,0,0
Burundi,1989,0,0,0,0
Burundi,1990,650,0,0,0
Burundi,1991,800,0,0,0
Burundi,1992,585.63,1.074,0,0
Burundi,1993,500,0,0,0
Burundi,1994,424.82,0,0.191,0
Burundi,1995,0,0,0,0
Burundi,1996,0,3.819,0.8,0
Burundi,1997,0,0,0,0
Burundi,1998,0,0,0,0
Burundi,1999,45.847,0,0.014,0
Burundi,2000,0,0,0,0
Burundi,2001,0,0,0,0
Burundi,2002,0,0,0,0
Burundi,2003,0,0,0,0
Burundi,2004,0,0,0,0
Burundi,2005,2471,1.4,2,0
Burundi,2006,0,0,0,0
Comoros,1980,0,0,0,0
Comoros,1981,0,0,0,0
Comoros,1982,0,0,0,0
Comoros,1983,0,0,0,0
Comoros,1984,0,0,0,0
Comoros,1985,0,0,0,0
Comoros,1986,0,0,0,0
Comoros,1987,0,0,0,0
Comoros,1988,0,0,0,0
Comoros,1989,0,0,0,0
Comoros,1990,0,0,0,0
Comoros,1991,19,0,0,0
Comoros,1992,29,0,0,0
Comoros,1993,0,0,0,0
Comoros,1994,0,0,0,0
Comoros,1995,0,0,0,0
Comoros,1996,0,0,0,0
Comoros,1997,0,0,0,0
Comoros,1998,0,0,0,0
Comoros,1999,0,0,0,0
Comoros,2000,0,0,0,0
Comoros,2001,0,0,0,0
Comoros,2002,0,0,0,0
Comoros,2003,0,0,0,0
Comoros,2004,0,0,0,0
Comoros,2005,0,0,0,0
Comoros,2006,0,0,0,0
Djibouti,1980,2,0,0,0
Djibouti,1981,0,0,0,0
Djibouti,1982,0,0,0,0
Djibouti,1983,0,0,0,0
Djibouti,1984,2.176,0,3.5,14
Djibouti,1985,9.74,0,0,1.8
Djibouti,1986,0.5,0,0,0
Djibouti,1987,0,0,0,0
Djibouti,1988,15,0,0,0
Djibouti,1989,31,0,0,0
Djibouti,1990,116,0,0.105,0
Djibouti,1991,0,0,0,0
Djibouti,1992,0,0,0,0
Djibouti,1993,0,0,0,0
Djibouti,1994,0,0,0,0
Djibouti,1995,105.505,0,0,0
Djibouti,1996,0,0,0,0
Djibouti,1997,0,0,0,0
Djibouti,1998,0,0,0,0
Djibouti,1999,0,0,0,0
Djibouti,2000,0,0,0,0
Djibouti,2001,0,0,0,0
Djibouti,2002,0,0,0,0
Djibouti,2003,0,0,0,0
Djibouti,2004,0,0,0,0
Djibouti,2005,0,0,0,0
Djibouti,2006,0,0,0,0
Eritrea,1980,0,0,0,0
Eritrea,1981,0,0,0,0
Eritrea,1982,0,0,0,0
Eritrea,1983,0,0,0,0
Eritrea,1984,0,0,0,0
Eritrea,1985,0,0,0,0
Eritrea,1986,0,0,0,0
Eritrea,1987,0,0,0,0
Eritrea,1988,0,0,0,0
Eritrea,1989,0,0,0,0
Eritrea,1990,0,0,0,0
Eritrea,1991,0,0,0,0
Eritrea,1992,0,0,0,0
Eritrea,1993,0,0,0,0
Eritrea,1994,0,0,0,0
Eritrea,1995,0,0,0,0
Eritrea,1996,0,0,0,0
Eritrea,1997,0,0,0,0
Eritrea,1998,0,0,0,0
Eritrea,1999,0,0,0,0
Eritrea,2000,0,0,0,0
Eritrea,2001,0,0,0,0
Eritrea,2002,0,0,0,0
Eritrea,2003,20.5,0,0,0
Eritrea,2004,12.126,0,0,0
Eritrea,2005,10.58,0,0,0
