Period,Year,Month,Mexico,Border,Nonborder,Heroin,GoldenTriangle,Aguascalientes,BajaCalifornia,BCSur,Campeche,Coahuila,Colima,Chiapas,Chihuahua,DistritoFederal,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Edomex,Michoacan,Morelos,Nayarit,NuevoLeon,Oaxaca,Puebla,Queretaro,QuintanaRoo,SanLuisPotosi,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
1,2008,January,248,101,147,125,65,0,33,0,0,6,0,3,41,11,11,2,21,5,6,26,28,0,0,3,11,0,0,3,3,13,5,1,13,0,2,1,0
2,2008,February,245,129,116,125,100,2,23,0,0,10,0,1,66,6,21,3,6,1,10,24,18,0,0,14,1,0,1,2,2,13,8,0,8,0,2,3,0
3,2008,March,295,171,124,185,157,0,25,0,0,7,0,0,117,1,11,8,15,3,14,22,7,0,0,6,6,0,0,2,2,29,4,1,12,0,3,0,0
4,2008,April,290,114,176,135,93,2,43,0,0,3,0,6,49,18,10,7,22,3,10,25,10,0,1,13,9,0,1,3,4,34,3,2,3,0,2,0,7
5,2008,May,474,227,247,342,285,3,9,0,0,3,0,1,175,20,37,2,39,2,12,24,17,8,1,7,0,1,0,0,0,73,20,1,13,0,3,0,3
6,2008,June,329,158,171,211,168,2,28,0,0,14,0,3,100,5,19,5,23,3,8,16,11,6,0,0,9,2,0,0,3,49,10,3,6,0,1,0,3
7,2008,July,549,233,316,384,331,6,18,0,3,2,0,5,181,29,18,2,17,1,16,37,31,4,0,3,5,1,3,2,2,132,25,1,4,1,0,0,0
8,2008,August,524,292,232,351,309,10,18,0,0,1,1,3,243,15,19,8,19,5,15,36,19,0,1,3,3,2,2,3,4,47,20,1,7,0,7,12,0
9,2008,September,497,220,277,292,221,6,61,0,0,3,1,0,133,9,24,2,36,7,11,64,34,2,0,4,1,3,0,0,0,64,12,2,7,0,6,0,5
10,2008,October,554,362,192,280,256,1,110,0,0,3,1,0,182,14,21,6,11,1,20,38,11,3,0,18,2,1,0,0,1,53,18,5,31,0,2,1,0
11,2008,November,551,326,225,320,291,3,151,0,0,1,0,0,162,5,60,13,16,5,5,21,12,1,1,3,0,3,0,0,7,69,5,2,4,0,0,0,2
